Εξάμηνο,Μάθημα,Καθηγητής,Δύσκολο (TRUE/FALSE),Εργαστήριο (TRUE/FALSE)
1,Γραµµική Άλγεβρα,ΓΙΑΝΝΟΠΟΥΛΟΥ,TRUE,FALSE
1,Διακριτά Μαθηµατικά,ΑΧΛΙΟΠΤΑΣ,FALSE,FALSE
1,Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,ΤΣΑΛΓΑΤΙΔΟΥ,FALSE,FALSE
1,Λογική Σχεδίαση,ΠΑΣΧΑΛΗΣ,FALSE,FALSE
1,Εισαγωγή στον Προγραµµατισµό,ΣΤΑΜΑΤΟΠΟΥΛΟΣ,FALSE,TRUE
3,Ανάλυση ΙΙ,ΓΑΤΖΟΥΡΑ,TRUE,FALSE
3,Πιθανότητες και στοιχεία Στατιστικής,ΚΑΡΑΛΙΟΠΟΥΛΟΥ,FALSE,FALSE
3,Σήµατα και Συστήµατα,ΠΑΝΑΓΑΚΗΣ,TRUE,FALSE
3,Εργαστήριο Κυκλωμάτων και Συστημάτων,ΠΙΝΟ,FALSE,FALSE
5,Αρχές Γλωσσών Προγραµµατισµού,ΡΟΝΤΟΓΙΑΝΝΗΣ,FALSE,FALSE